baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000022123.9	552.661275082953	-4.73707423637092	0.194196969464604	-24.3931419189028	2.02221585963823e-131	8.8999010758759e-129
ENSMUSG00000030494.13	525.764890563018	-5.76744492653929	0.236651892355944	-24.3710070057863	3.4722186741213e-131	1.49630923487915e-128
ENSMUSG00000026479.13	663.210448537477	-3.258954610533	0.135226003497719	-24.1000586147469	2.49617431155128e-128	1.05374215580486e-125
ENSMUSG00000035557.9	5638.8155323517	-11.8801265984921	0.493674731034052	-24.0646843998029	5.85981558292642e-128	2.42420570665666e-125
ENSMUSG00000019866.15	1632.55630441822	-2.94410572183936	0.12268667443255	-23.9969477977655	2.99249631954693e-127	1.21372130136918e-124
ENSMUSG00000038807.19	1117.16717994647	-2.96424143580408	0.124619434795806	-23.7863495421971	4.62400603167275e-125	1.83937624548367e-122
ENSMUSG00000026639.18	426.209657772409	-4.30164380511058	0.181537367717447	-23.695638309606	3.99905706377009e-124	1.56076406347329e-121
ENSMUSG00000029019.8	418.74381666616	-5.45652043522854	0.230891093696774	-23.6324422387401	1.78891443143245e-123	6.85253611373707e-121
ENSMUSG00000056413.16	486.355491017507	-5.93776285843688	0.254386350683947	-23.3415151499776	1.68067318202058e-120	6.32085904910831e-118
ENSMUSG00000015468.14	463.294341162282	-5.99859015647236	0.258631120010195	-23.1936131902298	5.28176851495502e-119	1.95095324521151e-116
ENSMUSG00000005968.14	900.287190510842	-2.82735068195945	0.122155410210561	-23.1455215703169	1.61285499733878e-118	5.8529658982373e-116
ENSMUSG00000063011.7	8462.56591017091	-1.94797933355252	0.08418624277095	-23.1389270911221	1.87930253466721e-118	6.70230567751572e-116
ENSMUSG00000046410.10	439.952986018894	-4.26473332900104	0.185013651289046	-23.0509116450994	1.44025780516988e-117	5.04944622032864e-115
ENSMUSG00000041607.17	437.940631879572	-5.01671008949043	0.21917632631736	-22.8889231505158	5.99020193717252e-116	2.06512211784023e-113
ENSMUSG00000024479.3	745.887004512871	-7.47901478580221	0.330501890724713	-22.6292647506569	2.23295371722822e-113	7.57190944932224e-111
ENSMUSG00000018920.11	363.46048217942	-3.70236276599266	0.163948167390622	-22.5825199812781	6.43719103746094e-113	2.14763381628838e-110
ENSMUSG00000021118.7	399.453147019567	-5.2870322896158	0.235185895213468	-22.480226906537	6.48072877301636e-112	2.12783928047371e-109
